1,爱,ài,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
2,八,bā,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
3,爸爸,bà ba,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
4,杯子,bēi zi,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
5,北京,Běi jīng,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
6,本,běn,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
7,不客气,bù kè qi,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
8,不,bù,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
9,菜,cài,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
10,茶,chá,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
11,吃,chī,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
12,出租车,chū zū chē,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
13,打电话,dǎ diàn huà,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
14,大,dà,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
15,的,de,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
16,点,diǎn,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
17,电脑,diàn nǎo,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
18,电视,diàn shì,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
19,电影,diàn yǐng,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
20,东西,dōng xi,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
21,都,dōu,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
22,读,dú,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
23,对不起,duì bu qǐ,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
24,多,duō,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
25,多少,duō shao,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
26,儿子,ér zi,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
27,二,èr,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
28,饭馆,fàn guǎn,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
29,飞机,fēi jī,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
30,分钟,fēn zhōng,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
31,高兴,gāo xìng,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
32,个,gè,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
33,工作,gōng zuò,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
34,狗,gǒu,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
35,汉语,Hàn yǔ,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
36,好,hǎo,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
37,喝,hē,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
38,和,hé,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
39,很,hěn,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
40,后面,hòu mian,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
41,回,huí,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
42,会,huì,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
43,火车站,huǒ chē zhàn,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
44,几,jǐ,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
45,家,jiā,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
46,叫,jiào,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
47,今天,jīn tiān,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
48,九,jiǔ,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
49,开,kāi,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
50,看,kàn,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
51,看见,kàn jiàn,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
52,块,kuài,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
53,来,lái,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
54,老师,lǎo shī,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
55,了,le,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
56,冷,lěng,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
57,里,lǐ,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
58,零,líng,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
59,六,liù,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
60,妈妈,mā ma,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
61,吗,ma,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
62,买,mǎi,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
63,猫,māo,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
64,没,méi,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
65,没关系,méi guān xi,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
66,米饭,mǐ fàn,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
67,明天,míng tiān,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
68,名字,míng zi,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
69,哪,nǎ,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
70,那,nà,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
71,呢,ne,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
72,能,néng,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
73,你,nǐ,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
74,年,nián,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
75,女儿,nǚ ér,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
